EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,2,3,4,3,5,3,4,3,4,1.39,0.36,2.55,1.30,2.65,0.25,2.58,2.24,2.32,2.09,H
4,4,3,4,2,5,4,4,4,2,2.09,4.90,0.64,1.95,1.21,0.25,3.92,3.36,2.86,1.26,H
5,1,4,5,4,5,1,3,3,1,2.17,2.23,1.08,2.86,1.04,0.75,2.42,1.09,1.16,3.63,H
5,3,1,4,2,4,2,2,3,3,0.72,2.23,1.39,0.65,1.82,0.81,1.48,1.84,1.74,2.49,H
5,1,4,2,5,5,4,4,2,2,2.17,0.74,1.62,2.26,2.42,0.75,1.96,1.68,2.38,1.89,H
4,2,2,2,2,4,2,2,5,4,1.04,2.14,2.53,4.51,3.64,1.21,2.96,3.69,0.63,1.57,H
4,3,2,3,5,4,3,4,3,4,1.39,2.97,0.42,2.89,0.81,1.61,2.58,2.24,2.32,2.09,H
4,2,4,4,4,5,4,4,2,4,2.44,0.71,3.78,2.27,3.66,0.25,4.57,3.92,1.59,3.66,H
5,4,4,4,3,5,2,3,3,3,1.45,2.45,1.62,0.97,2.65,0.50,0.49,2.19,2.32,3.32,H
4,4,3,4,4,4,3,4,4,4,2.79,6.54,1.27,2.60,4.18,3.23,1.29,4.48,3.82,4.18,H
5,4,4,4,4,4,2,2,3,3,0.72,4.09,2.70,1.62,2.61,2.02,0.99,1.23,1.16,1.66,H
4,1,2,2,3,5,2,3,5,3,0.35,0.74,1.27,2.26,1.98,0.50,1.48,1.64,1.26,2.49,H
2,2,3,3,2,5,1,2,4,5,3.52,1.42,1.27,1.45,2.43,0.50,0.81,2.46,0.48,1.19,H
5,2,4,4,4,5,4,4,4,4,1.45,0.36,3.78,2.27,3.66,0.50,4.57,3.92,3.34,3.66,H
5,5,4,5,4,5,5,3,5,4,4.34,8.07,1.62,5.73,1.57,1.49,6.78,0.55,3.78,1.57,H
5,1,4,4,5,5,5,5,5,5,5.06,0.74,1.08,0.65,5.64,1.74,7.91,8.09,4.41,4.15,H
4,2,2,4,1,5,5,5,4,1,1.04,0.71,0.84,0.97,2.21,0.75,3.39,3.47,1.43,2.42,H
2,1,2,4,1,4,4,3,4,5,1.76,1.48,0.84,1.30,2.21,1.61,2.61,0.55,1.91,0.59,H
3,4,2,4,1,4,1,1,2,2,0.66,2.45,1.27,0.97,3.32,1.21,2.42,2.68,2.38,1.89,H
3,3,4,3,5,5,5,5,4,5,1.98,2.23,1.08,2.17,4.03,1.24,5.65,5.78,0.95,2.97,H
3,4,4,4,5,5,5,3,4,4,1.32,4.09,2.70,1.62,2.42,0.75,3.39,1.09,2.39,2.61,H
3,1,3,2,4,5,4,4,2,2,1.32,0.74,1.27,2.26,1.57,0.25,1.96,1.68,2.38,1.89,H
4,2,4,3,3,5,3,3,4,4,1.39,0.36,2.16,2.89,2.65,0.25,2.58,2.19,1.91,2.09,H
4,2,4,5,2,4,2,4,4,4,2.09,1.07,3.24,0.95,1.82,2.42,1.48,3.36,2.86,3.13,H
4,4,4,5,5,5,5,3,4,5,1.39,3.27,2.16,4.77,4.03,1.24,5.65,0.55,1.91,2.97,H
2,3,2,4,3,5,3,3,3,4,1.76,3.71,0.84,0.65,3.31,0.25,3.23,2.73,2.90,1.04,H
4,4,4,5,5,5,5,3,4,5,1.39,3.27,2.16,4.77,4.03,1.24,5.65,0.55,1.91,2.97,H
