EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
3,2,1,4,1,5,2,4,4,2,0.71,1.00,2.43,0.89,2.17,0.24,1.46,1.61,1.30,1.86,H
4,2,3,4,2,5,2,2,2,3,0.66,1.66,1.12,0.59,2.81,0.24,2.43,2.68,4.35,1.56,H
4,1,5,4,2,4,2,2,4,2,1.31,0.75,0.98,1.19,2.25,1.65,1.95,2.14,1.73,2.49,H
3,2,5,4,2,5,3,3,1,2,2.13,1.00,1.96,0.30,1.69,0.49,1.99,1.99,1.32,1.86,H
5,1,5,5,5,5,5,5,1,5,5.30,1.50,7.85,7.44,5.99,1.96,9.26,8.00,2.64,4.85,H
5,2,5,5,5,5,5,5,4,5,5.30,0.33,7.85,7.44,5.99,1.96,9.26,8.00,0.43,4.85,H
3,2,2,2,4,5,3,2,4,4,1.42,1.33,1.97,3.60,1.61,0.24,1.33,2.14,1.30,1.63,H
5,1,5,5,5,5,5,5,1,5,5.30,1.50,7.85,7.44,5.99,1.96,9.26,8.00,2.64,4.85,H
5,1,5,3,5,5,5,4,5,4,3.98,0.75,5.89,0.65,4.49,1.47,6.95,1.07,4.08,1.08,H
5,1,3,5,1,5,3,5,1,2,2.65,2.25,1.12,3.72,3.25,0.98,1.33,4.00,3.96,0.62,H
4,2,3,2,2,4,2,3,2,3,0.66,1.66,1.69,4.50,2.81,0.82,2.43,1.99,4.35,2.35,H
2,2,2,2,2,4,2,4,2,2,7.85,2.66,3.94,7.19,4.50,0.82,3.89,1.07,6.96,4.97,H
4,3,3,3,4,4,4,3,4,4,1.97,2.87,2.25,2.62,3.21,2.47,3.55,2.65,2.59,3.25,H
4,4,2,4,2,4,2,2,3,2,1.31,3.60,2.46,1.19,2.81,1.65,2.43,2.68,0.62,3.11,H
3,2,3,3,4,4,4,4,4,4,2.13,0.33,1.69,1.96,3.21,2.47,3.55,3.21,2.59,3.25,H
3,3,4,3,2,5,2,2,4,4,2.13,2.15,1.86,1.96,1.69,0.24,1.46,1.61,1.30,1.63,H
5,3,2,4,5,4,4,4,5,5,2.65,0.72,0.49,1.19,3.00,1.65,2.36,2.14,2.72,2.42,H
4,2,5,4,4,5,3,3,3,5,0.98,0.33,2.94,0.89,1.61,0.73,1.99,1.99,1.86,1.82,H
2,3,2,4,1,3,2,2,4,2,4.91,1.44,2.46,0.59,1.08,3.77,2.43,2.68,0.86,3.11,H
5,1,5,2,2,4,3,4,5,4,1.99,0.75,2.94,1.80,1.12,1.24,0.66,1.61,2.04,1.63,H
5,4,3,5,5,5,4,5,5,5,4.64,1.80,0.56,6.51,5.24,1.71,1.18,7.00,4.76,4.24,H
4,4,2,4,5,4,3,3,4,4,1.97,5.40,0.49,1.78,0.75,2.47,1.33,1.33,2.59,3.25,H
4,2,3,4,1,5,3,5,3,1,0.66,0.33,1.69,0.59,2.17,0.49,1.99,2.00,1.86,2.43,H
4,2,2,5,2,5,2,5,4,2,0.66,1.66,2.46,2.79,2.81,0.73,2.43,3.00,0.86,3.11,H
4,2,2,5,2,5,2,5,4,2,0.66,1.66,2.46,2.79,2.81,0.73,2.43,3.00,0.86,3.11,H
4,3,2,4,4,5,3,5,3,2,0.98,2.15,0.98,0.89,1.61,0.49,1.99,2.00,1.86,1.24,H
3,3,3,3,4,4,2,3,3,2,4.25,4.31,3.37,3.92,1.07,0.82,0.97,3.98,3.73,1.24,H
2,1,3,4,1,5,1,2,3,3,1.96,2.25,1.69,0.30,3.25,0.24,2.65,1.07,1.86,2.35,H
4,3,2,4,2,4,1,1,1,1,0.98,0.72,0.98,0.89,1.12,1.24,3.54,4.00,5.28,4.86,H
4,2,3,3,3,4,2,2,3,3,0.66,1.00,2.81,3.27,3.80,0.82,1.46,1.61,3.11,3.91,H
4,4,5,4,4,5,2,2,3,5,1.31,3.60,2.94,1.19,2.14,0.73,0.97,1.07,0.62,1.82,H
5,2,4,4,3,5,3,3,3,4,1.33,0.33,1.86,0.89,3.04,0.49,2.65,2.65,2.49,1.63,H
4,3,3,4,3,5,3,4,4,4,1.64,2.87,2.25,1.49,3.04,0.24,2.65,2.68,2.16,2.71,H
